hand,timestamp,landmark,x,y,z
right,3.7711,8,702.4774,207.2335,-107.8943
right,3.8117,8,733.4877,169.0066,-105.4401
right,3.9449,8,1130.0532,6.9184,-170.4182
right,4.0378,8,739.1391,201.8294,-95.7503
right,4.078,8,725.6335,215.1862,-77.3638
right,4.1802,8,904.276,47.0951,-136.8412
right,4.2233,8,907.906,42.2835,-130.7339
right,4.2638,8,871.6949,69.8146,-109.5078
right,4.3068,8,832.4081,102.7871,-121.0575
right,4.3456,8,857.1091,93.7585,-104.3419
right,4.3858,8,904.0024,72.7038,-113.1335
right,4.4276,8,1014.3388,34.6742,-124.8247
right,4.6796,8,416.2605,231.9589,-106.8373
right,4.72,8,396.1658,225.8668,-87.4198
right,4.7604,8,432.6823,210.9872,-105.8278
right,4.8003,8,487.461,167.7547,-78.8687
right,5.2407,8,456.7301,196.7503,-114.7522
right,5.2739,8,412.8779,169.2303,-99.0248
right,5.3399,8,385.2176,75.0041,-128.7697
right,5.3731,8,407.6902,-3.4109,-134.2818
right,5.4061,8,507.1523,-27.7792,-187.1944
right,5.4401,8,589.1279,-30.836,-204.3965
right,5.7744,8,333.2798,222.3522,-122.0332
right,5.8079,8,297.0698,209.448,-119.0688
right,5.841,8,279.4759,197.2186,-117.009
right,5.8746,8,283.2506,174.7756,-104.9655
right,5.9084,8,294.9022,142.0372,-109.3977
right,5.9424,8,312.1028,106.8693,-121.9844
right,5.9748,8,398.6091,126.7088,-99.3545
right,6.0083,8,472.8518,86.7635,-140.3203
right,6.0419,8,521.7014,4.4607,-387.4156
right,6.0748,8,573.7848,40.4758,-230.3182
right,6.1749,8,416.7017,246.3403,-85.4986
right,6.2083,8,296.4704,222.3986,-143.8533
right,6.2417,8,248.1106,229.7557,-164.7323
right,6.2751,8,227.7992,223.2535,-179.691
right,6.3084,8,228.7716,213.7358,-137.7758
right,6.342,8,238.4554,195.2228,-116.2647
right,6.3754,8,251.1409,168.4343,-130.5481
right,6.409,8,259.4442,134.4357,-134.0659
right,6.4424,8,283.9703,103.2411,-153.9751
right,6.642,8,344.2742,238.5644,-144.4731
right,6.6751,8,235.395,220.6316,-138.6893
right,6.7104,8,196.9053,229.774,-144.1127
right,6.746,8,191.3748,223.0058,-165.2584
right,6.7798,8,201.3414,209.4489,-153.9196
right,6.815,8,209.8045,184.1289,-144.0088
right,6.8477,8,233.4447,172.9131,-125.6284
right,6.8839,8,255.8331,137.5087,-117.4259
right,6.9175,8,295.002,111.8581,-121.9873
right,6.952,8,344.6085,108.677,-136.7076
right,6.9849,8,365.7501,125.8622,-176.8916
right,7.0188,8,371.7036,142.9574,-271.4742
right,7.0527,8,371.9593,162.3366,-167.6726
right,7.0884,8,365.0865,172.6557,-115.0294
right,7.122,8,358.4643,186.9506,-152.3136
right,7.1565,8,344.0141,192.9164,-315.3631
right,7.2427,8,330.3443,196.5526,-308.7143
right,7.2796,8,333.5259,190.7098,-309.6472
right,7.3147,8,333.0677,189.8474,-303.2502
right,7.3475,8,335.0909,189.5437,-299.4157
right,7.38,8,331.5603,192.9175,-302.0679
right,7.4134,8,332.5721,196.4404,-303.4279
right,7.4477,8,334.6635,201.9165,-298.0716
right,7.4795,8,331.928,204.9715,-295.8296
right,7.5125,8,333.2805,202.9224,-286.5799
right,7.5468,8,333.9502,206.5593,-290.9923
right,7.71,8,332.0536,207.2391,-284.7658
right,7.9116,8,336.4402,203.0561,-270.3151
right,7.9444,8,330.6768,208.4001,-282.5277
right,7.9787,8,337.2171,204.8833,-237.2127
right,8.0114,8,333.4227,195.3431,-106.0629
right,8.0435,8,323.9566,179.3217,-211.6767
right,8.0773,8,317.2302,164.4379,-171.1093
right,8.1128,8,317.0655,148.6056,-226.4346
right,8.1455,8,321.9589,142.9261,-176.4942
right,8.1785,8,328.6152,131.9976,-168.9163
right,8.2108,8,329.1623,125.7336,-163.6673
right,8.2445,8,334.9521,117.4495,-199.8889
right,8.2784,8,335.5965,116.6328,-167.2106
right,8.3117,8,337.8482,108.408,-180.5704
right,8.3456,8,339.0435,100.9449,-156.7776
right,8.3791,8,339.0932,94.8777,-139.3422
right,8.4121,8,337.6576,86.8575,-120.6117
right,8.4454,8,339.2635,82.5979,-142.0472
right,8.4787,8,340.8809,77.997,-139.5464
right,8.512,8,344.1673,73.1797,-142.1476
right,8.5486,8,346.5612,70.793,-160.9528
right,8.584,8,352.9613,71.7641,-162.2934
right,8.6149,8,361.3395,69.6038,-197.3723
right,8.6467,8,367.878,60.7596,-229.4276
right,8.678,8,371.5247,58.494,-194.3469
right,8.7115,8,371.8951,57.3203,-209.9207
right,8.745,8,375.3483,56.3431,-203.9884
right,8.7783,8,378.2939,54.1489,-189.5588
right,8.812,8,380.3764,56.0177,-172.2706
right,8.8447,8,387.6915,52.0099,-196.637
right,8.8787,8,383.7264,58.5366,-184.7508
right,8.9118,8,386.8731,58.8237,-180.6339
right,8.946,8,389.0026,60.6504,-191.9542
right,8.9788,8,389.3307,63.8939,-189.678
right,9.0124,8,391.0689,68.3481,-191.3318
right,9.0455,8,393.8709,71.745,-202.1559
right,9.0786,8,394.9924,71.9308,-163.1878
right,9.1125,8,399.1102,73.155,-176.393
right,9.1458,8,407.5928,73.0028,-113.4886
right,9.1787,8,431.9035,75.9668,-14.3779
right,9.2124,8,461.4608,54.5559,-216.5029
right,9.2456,8,494.0449,61.4805,-137.4713
right,9.2795,8,508.0487,63.1169,-159.5259
right,9.3204,8,499.0874,64.9277,-139.8228
right,9.3605,8,496.5117,68.1606,-103.3069
right,9.4019,8,499.0814,69.4809,-104.2421
right,9.4445,8,494.867,87.9152,-96.6412
right,9.4846,8,490.8393,136.3636,-95.0874
right,9.5253,8,520.5477,149.0396,-94.0909
right,9.7473,8,667.6283,185.8365,-124.885
right,9.7869,8,590.8329,187.0967,-112.2206
right,9.8168,8,563.7384,192.3673,-99.9881
right,9.8479,8,537.1606,201.1412,-96.9845
right,9.8813,8,529.4019,209.4904,-91.1695
right,9.9223,8,533.8032,207.9263,-89.5571
right,9.9629,8,552.2083,204.6117,-98.4245
left,0.9004,8,-66.7233,207.5411,-349.6342
left,0.9345,8,142.6492,234.139,-293.964
left,0.9673,8,278.1968,246.3521,-352.6359
left,1.0334,8,475.7509,202.6268,-532.9224
left,1.0664,8,507.5449,139.106,-376.0746
left,1.0997,8,525.6257,50.231,-491.1059
left,1.133,8,578.7493,-39.3699,-481.0132
left,1.1661,8,633.272,-75.2897,-458.5453
